dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-04,/Books/{format}/,ID_Book=1 ISBN=null Title=null Sinopse=null,35489500,7719600,43586400,337,200,0,15625000
2025-11-04,/Books/{format}/,ID_Book=10 ISBN=null Title=null Sinopse=null,6573900,580100,7185900,369,200,0,0
dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-12-14,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,2653227200,0,2653625400,0,204,8388608,0
2025-12-14,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,2708047300,37998400,2749815300,3878917,200,41943040,93750000
2025-12-14,/Books/AuthorName/,Author_Name=Off local should want,3954121100,0,3954169300,0,204,46137344,0
2025-12-14,/Books/AuthorName/,Author_Name=Major yeah view bring,3979368300,0,3979408300,0,204,46137344,0
2025-12-14,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,3976511400,0,3976676200,0,204,46137344,0
2025-12-14,/Books/AuthorName/,Author_Name=Than people area strategy,4214618800,0,4214670800,0,204,50331648,0
2025-12-14,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,4235014600,166991800,4407286100,6638196,200,117440512,234375000
2025-12-14,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,4442071600,1357800,4443471100,1415,200,125829120,0
2025-12-14,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,4451025600,0,4451045800,0,204,125829120,0
2025-12-14,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,4465410800,0,4465447100,0,204,125829120,0
2025-12-14,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,4470212800,0,4470242600,0,204,125829120,0
2025-12-14,/Reservations/LibraryName/,LlibraryName=Store apply different next,5068785100,0,5068853500,0,204,130023424,0
2025-12-14,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,5047307200,21700,5047359900,379,200,125829120,0
2025-12-14,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,5117860400,0,5117945700,0,204,130023424,0
2025-12-14,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,5245857800,0,5245893800,0,204,125829120,0
2025-12-14,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,5468982500,0,5469024200,0,204,125829120,0
2025-12-14,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,2773537100,0,2773585300,0,204,109051904,0
2025-12-14,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,5475637600,0,5475663000,0,204,125829120,0
2025-12-14,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,5482955600,0,5483493000,0,204,125829120,15625000
2025-12-14,/Stocks/Library/,BookTitle=Along family threat,5747430800,0,5747504700,0,204,130023424,0
2025-12-14,/Reservations/ClientName/,ClientName=How good shoulder history position,2998733100,0,2998823800,0,204,79691776,0
2025-12-14,/Books/AuthorID/,AuthorID=56330,5813221700,2200,5813284500,0,200,130023424,15625000
2025-12-14,/Books/AuthorID/,AuthorID=51290,5820238100,1800,5820275400,0,200,130023424,0
2025-12-14,/Books/AuthorID/,AuthorID=50004,5835660300,2400,5835710700,52,200,130023424,0
2025-12-14,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,1412396800,58500,1412503100,342,200,4194304,0
2025-12-14,/Reservations/ClientName/,ClientName=Power which loss,1515911500,0,1515981300,0,204,4194304,0
2025-12-14,/Authors/Book_Name/,Book_Name=Box run knowledge music,2492636500,0,2492691300,0,204,83886080,0
2025-12-14,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,6458576900,2005400,6460646600,264,200,130023424,0
2025-12-14,/Books/AuthorID/,AuthorID=49424,1041601500,2100,1041652300,52,200,4194304,0
2025-12-14,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,2760668000,0,2760704700,0,204,83886080,0
2025-12-14,/Reservations/BookTitle/,BookTitle=Light bed bed,7614220400,0,7614271500,0,204,134217728,0
2025-12-14,/Books/AuthorID/,AuthorID=49473,1837153600,1100,1837191800,52,200,0,0
2025-12-14,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,3783496300,0,3783539800,0,204,83886080,0
2025-12-14,/Authors/Book_Name/,Book_Name=Director concern exist trouble,2045260800,0,2045307200,0,204,0,0
2025-12-14,/Stocks/Library/,BookTitle=Same service blue themselves design,2864874200,0,2864941200,0,204,4194304,0
2025-12-14,/Library/{format}/,ID_Library=null Name=null Description=Involve key Location=null,2590757900,42800,2590844900,5855,200,4194304,0
2025-12-14,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,2140316400,0,2140371900,0,204,0,0
2025-12-14,/Authors/Book_ID/,Book_ID=1083621,3054951700,575000,3055566000,328,200,4194304,0
2025-12-14,/Books/AuthorID/,AuthorID=51857,8181786800,36800,8181874500,269,200,130023424,15625000
2025-12-14,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,580550300,0,580597200,0,204,0,0
2025-12-14,/Reservations/ClientName/,ClientName=Write how media bit,2043048300,0,2043117800,0,204,0,0
2025-12-14,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,633384000,0,633450500,0,204,0,0
2025-12-14,/Stocks/Library/,BookTitle=Nation eat work language,3514782100,0,3514841800,0,204,4194304,0
2025-12-14,/Reservations/BookTitle/,BookTitle=Compare car what,8905705400,0,8905770300,0,204,134217728,0
2025-12-14,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,753248600,680900,753978100,490,200,0,0
2025-12-14,/Stocks/Library/,BookTitle=Better program until those,1415399900,0,1415464000,0,204,0,0
