dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-09-12,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,174318400,0,174518200,0,204,4194304,0
2025-09-12,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,2806257500,0,2806617000,0,204,4194304,0
2025-09-12,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,18533274200,0,18533310900,0,204,4194304,0
2025-09-12,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,18532911400,10587700,18543521500,1415,200,4194304,0
2025-09-12,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,18591944300,0,18591984600,0,204,4194304,15625000
2025-09-12,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,18604294000,0,18604321400,0,204,4194304,0
2025-09-12,/Reservations/BookTitle/,BookTitle=Light bed bed,0,0,19869936200,0,204,4194304,0
2025-09-12,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,20103762000,0,20104055000,0,204,4194304,0
2025-09-12,/Reservations/BookTitle/,BookTitle=Compare car what,0,0,20681146200,0,204,8388608,0
2025-09-12,/Books/AuthorID/,AuthorID=50004,20730524200,400,20738019300,52,200,8388608,0
2025-09-12,/Books/AuthorID/,AuthorID=56330,20737722000,400,20738182600,0,200,8388608,0
2025-09-12,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,917372400,23600,918546300,379,200,4194304,0
2025-09-12,/Books/AuthorName/,Author_Name=Off local should want,21635437400,0,21635734400,0,204,8388608,0
2025-09-12,/Books/AuthorName/,Author_Name=Major yeah view bring,21718372800,0,21718681300,0,204,29360128,0
2025-09-12,/Books/AuthorID/,AuthorID=51857,21707462800,329900,21720791600,269,200,33554432,15625000
2025-09-12,/Books/AuthorID/,AuthorID=51290,3207283100,300,3207814100,0,200,58720256,0
2025-09-12,/Stocks/Library,LibraryName=Along family threat,18947452900,0,18947604100,0,204,71303168,0
2025-09-12,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,21766669100,0,21766812300,0,204,79691776,0
2025-09-12,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,1084535400,0,1084788400,0,204,134217728,0
2025-09-12,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,21725679300,21181900,21940427200,3878917,200,75361056,187500000
2025-09-12,/Books/AuthorName/,Author_Name=Than people area strategy,3406662300,0,3406848600,0,204,146664224,0
2025-09-12,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,257833400,23000,257882400,342,200,79555360,0
2025-09-12,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,3434487800,131000,3436103900,264,200,150858528,0
2025-09-12,/Authors/Book_Name/,Book_Name=Box run knowledge music,441931400,0,442082100,0,204,0,0
2025-09-12,/Reservations/ClientName/,ClientName=How good shoulder history position,1398025700,0,1398204000,0,204,75361376,0
2025-09-12,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,1585202400,311650900,2095165000,6670858,200,100527200,484375000
2025-09-12,/Reservations/ClientName/,ClientName=Power which loss,560981000,0,561134600,0,204,25166144,0
