dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-10-02,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,108956300,0,109377100,0,204,0,0
2025-10-02,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,2198837100,0,2198988800,0,204,4194304,31250000
2025-10-02,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,2433924700,0,2434128500,0,204,4194304,15625000
2025-10-02,/Reservations/BookTitle/,BookTitle=Compare car what,4527177400,0,4528442300,0,204,4194304,15625000
2025-10-02,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,4600278100,0,4600451300,0,204,4194304,15625000
2025-10-02,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,4698804400,0,4698847600,0,204,4194304,0
2025-10-02,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,4731909900,17281200,4749238700,1415,200,4194304,15625000
2025-10-02,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,4830582300,0,4830771400,0,204,4194304,15625000
2025-10-02,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,4814025700,0,4814088300,0,204,4194304,15625000
2025-10-02,/Books/AuthorID/,AuthorID=56330,5086325400,600,5086498400,0,200,4194304,0
2025-10-02,/Books/AuthorID/,AuthorID=50004,5086992400,700,5087298700,52,200,4194304,15625000
2025-10-02,/Books/AuthorName/,Author_Name=Off local should want,122395506836300,0,6288923200,0,204,8388608,0
2025-10-02,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,1524585400,75300,1524778100,303,200,4194304,15625000
2025-10-02,/Books/AuthorName/,Author_Name=Major yeah view bring,122395513359200,0,6299449100,0,204,8388608,46875000
2025-10-02,/Stocks/Library,LibraryName=Along family threat,4144873200,0,4145029500,0,204,8388608,0
2025-10-02,/Books/AuthorID/,AuthorID=51857,6377317400,232200,6380303400,269,200,20971520,0
2025-10-02,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,6371845700,46653900,6418669700,3878917,200,37748736,109375000
2025-10-02,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,1342756500,0,1342920900,0,204,29360128,0
2025-10-02,/Books/AuthorID/,AuthorID=51290,4035202300,1200,4035511500,0,200,41943040,0
2025-10-02,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,1773646900,144085700,1917876800,6638196,200,96468992,203125000
2025-10-02,/Authors/Book_Name/,Book_Name=Box run knowledge music,617313700,0,617498100,0,204,100663296,0
2025-10-02,/Reservations/ClientName/,ClientName=How good shoulder history position,807561700,0,807816400,0,204,100663296,0
2025-10-02,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,1184037300,0,1184159100,0,204,92274688,0
2025-10-02,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,1110112800,48400,1110206800,342,200,67108864,0
2025-10-02,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,2944813400,1415700,2946648900,264,200,104857600,15625000
2025-10-02,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,2639442700,0,2639489800,0,204,100663296,0
2025-10-02,/Reservations/LibraryName/,LlibraryName=Store apply different next,3341379400,0,3341460500,0,204,104857600,0
2025-10-02,/Reservations/ClientName/,ClientName=Power which loss,1402686400,0,1402875400,0,204,0,0
2025-10-02,/Reservations/ID_Reservation/,ID_Reservation=18707,3482393900,915000,8200811400,563,200,109051904,46875000
2025-10-02,/Stocks/Library,LibraryName=Nation eat work language,1677551300,0,1677706400,0,204,0,0
2025-10-02,/Reservations/ID_Reservation/,ID_Reservation=18715,7222262200,576000,8643824900,590,200,104857600,0
2025-10-02,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,4274872800,0,4275040800,0,204,104857600,0
2025-10-02,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,3033667200,0,3033783900,0,204,100663296,0
2025-10-02,/Books/AuthorID/,AuthorID=49424,1627927700,700,1628102400,52,200,0,0
2025-10-02,/Stocks/Library,LibraryName=Same service blue themselves design,2091969700,0,2092065200,0,204,0,0
2025-10-02,/Books/AuthorID/,AuthorID=49473,871110300,800,871371500,52,200,0,0
2025-10-02,/Authors/Book_ID/,Book_ID=1083621,2140272100,404900,2141255300,328,200,0,0
2025-10-02,/Stocks/Library,LibraryName=Rule more environment others,2009081000,0,2009162000,0,204,0,0
2025-10-02,/Authors/Book_Name/,Book_Name=Director concern exist trouble,864673000,0,864763300,0,204,0,0
2025-10-02,/Library/{format}/,ID_Library=null Name=null Description=Involve key Location=null,2588351500,57400,2588835100,5855,200,0,0
2025-10-02,/Reservations/BookTitle/,BookTitle=Light bed bed,11064527000,0,11065479800,0,204,109051904,0
2025-10-02,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,1368926600,0,1369113800,0,204,0,0
2025-10-02,/Stocks/Library,LibraryName=Forward eye save,3251632600,0,3251727900,0,204,0,0
2025-10-02,/Stocks/Library,LibraryName=Generation ready open likely,3545108500,0,3545189300,0,204,0,0
2025-10-02,/Reservations/BookTitle/,BookTitle=Meeting article,11145013600,0,11146615300,0,204,109051904,15625000
2025-10-02,/Reservations/ID_Reservation/,ID_Reservation=18461,4017492700,38900,4624317200,437,200,62914560,15625000
2025-10-02,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,99112700,0,99172600,0,204,0,0
2025-10-02,/Reservations/ID_Reservation/,ID_Reservation=18763,3694699400,26200,4220668000,391,200,0,31250000
2025-10-02,/Books/AuthorName/,Author_Name=Than people area strategy,122400373737000,0,6440723800,0,204,104857600,0
2025-10-02,/Reservations/ID_Reservation/,ID_Reservation=18737,4152928900,33600,4760057600,535,200,62914560,15625000
2025-10-02,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,94916200,0,94965200,0,204,0,0
2025-10-02,/Reservations/ClientName/,ClientName=Write how media bit,1875794000,0,1875926200,0,204,0,15625000
2025-10-02,/Reservations/BookTitle/,BookTitle=Radio young,11632535000,0,11637273400,0,204,109051904,0
2025-10-02,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,460679400,708900,461432600,490,200,0,0
2025-10-02,/Stocks/Library,LibraryName=Lot rich interesting lead,2176084500,0,2176185800,0,204,0,0
2025-10-02,/Authors/Book_ID/,Book_ID=1147468,1621375800,44700,1621753100,245,200,0,0
2025-10-02,/Authors/Book_ID/,Book_ID=1157526,730902700,19900,731242700,358,200,0,0
2025-10-02,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,3062781100,0,3063036500,0,204,0,0
2025-10-02,/Authors/{format}/,ID_Authors=null Name=Across decide Age=null Bibliograhy=null,2765797000,950200,2766909100,1693,200,0,0
2025-10-02,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=1275 Catherine Lane Suite 635 West Gabrielleview  PW 99902,1180341000,0,1180820300,0,204,0,0
2025-10-02,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,13040624900,0,13040777800,0,204,109051904,15625000
2025-10-02,/Reservations/BookTitle/,BookTitle=Wait poor evening book,2944147100,0,2944324900,0,204,0,0
2025-10-02,/Reservations/ID_Reservation/,ID_Reservation=19892,6437820600,463400,6780145600,718,200,88080384,0
2025-10-02,/Authors/Book_ID/,Book_ID=1099900,2050009100,24000,2050337800,282,200,0,0
2025-10-02,/Library/{format}/,ID_Library=89004 Name=null Description=null Location=null,1322014200,560400,1322612100,482,200,0,15625000
2025-10-02,/Reservations/ClientName/,ClientName=Interview many job,1680282100,0,1680515000,0,204,4194304,0
2025-10-02,/Reservations/ID_Reservation/,ID_Reservation=19595,2851292800,24400,4183971800,447,200,4194304,0
2025-10-02,/Books/AuthorName/,Author_Name=Myself cause deal tonight,122402938260500,0,2467900900,0,204,4194304,0
2025-10-02,/Stocks/Library,LibraryName=Better program until those,2830824200,0,2830904300,0,204,4194304,0
2025-10-02,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,852824400,17300,852887400,486,200,4194304,0
2025-10-02,/Stocks/Library,LibraryName=Old send social recent,2961308300,0,2961407600,0,204,4194304,0
2025-10-02,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,921123100,0,921164200,0,204,4194304,0
2025-10-02,/Reservations/{format}/,ID_Reservations=9193 ID_Library=null ID_Book=null ID_Clients=null,772992300,58900,773089200,72,200,0,0
2025-10-02,/Authors/{format}/,ID_Authors=16361 Name=null Age=null Bibliograhy=null,425537400,1051900,426779000,439,200,0,0
2025-10-02,/Authors/{format}/,ID_Authors=null Name=null Age=86 Bibliograhy=null,1199670600,0,1199921000,0,204,0,0
2025-10-02,/Authors/Book_ID/,Book_ID=1086954,2932410700,21100,2932676200,230,200,4194304,0
2025-10-02,/Books/{format}/,ID_Book=110296 ISBN=null Title=null Sinopse=null,2708699000,533200,2709387000,262,200,4194304,0
2025-10-02,/Books/AuthorName/,Author_Name=Travel compare place speak,122404316535400,0,3256325100,0,204,4194304,0
2025-10-02,/Stocks/BookTitle/,BookTitle=Explain boy while process,4026627300,0,4026772100,0,204,4194304,0
2025-10-02,/Authors/Book_ID/,Book_ID=1055939,2107400100,484300,2108223400,218,200,4194304,0
2025-10-02,/Books/{format}/,ID_Book=null ISBN=978-0-17-180434-8 Title=null Sinopse=null,2263266900,0,2263425300,0,204,0,0
2025-10-02,/Books/AuthorName/,Author_Name=Value standard Republican Republican,122404943713500,0,2938051700,0,204,4194304,0
2025-10-02,/Reservations/BookTitle/,BookTitle=Model firm do,2212895800,0,2213082700,0,204,0,0
