dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,27195900,0,27336900,0,204,0,0
2025-11-11,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,31705200,41100,31784400,11913,200,0,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,34670100,0,34686800,0,204,0,0
2025-11-11,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,34269500,8105300,42390900,54555,200,4194304,0
2025-11-11,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,3451000300,0,3451073500,0,204,4194304,15625000
2025-11-11,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,17116174500,158900,17116362400,53926,200,724593080,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,17094877800,2066294700,19161245800,397406969,200,2416994744,2718750000
2025-11-11,/Authors/Book_Name/,Book_Name=Director concern exist trouble,19515254100,0,19515287400,0,204,2404292560,0
2025-11-11,/Stocks/Library,LibraryName=Lot rich interesting lead,33913982600,0,33914016600,0,204,2416875472,0
2025-11-11,/Stocks/Library,LibraryName=Forward eye save,33913715000,0,33913868100,0,204,2416875472,0
2025-11-11,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,34247590100,0,34247658800,0,204,2404292560,0
2025-11-11,/Stocks/Library,LibraryName=Rule more environment others,34845796900,0,34846265000,0,204,2416875472,0
2025-11-11,/Books/AuthorName/,Author_Name=Major yeah view bring,61780502507000,0,42547522500,0,204,2408486864,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,57624697400,0,57624900600,0,204,2421069776,0
2025-11-11,/Books/AuthorID/,AuthorID=51290,60122872100,800,60124162100,0,200,2442041296,0
2025-11-11,/Library/{format}/,ID_Library=89004 Name=null Description=null Location=null,40673202400,692400,40673923700,54569,200,41943040,0
2025-11-11,/Books/AuthorID/,AuthorID=50004,60190149700,400,60190260100,52,200,2450429904,0
2025-11-11,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,62423694400,0,62423720900,0,204,2446235600,0
2025-11-11,/Stocks/Library,LibraryName=Same service blue themselves design,64788028400,0,64788508200,0,204,2458818512,0
2025-11-11,/Stocks/Library,LibraryName=Along family threat,65251741600,0,65251950700,0,204,2458818512,0
2025-11-11,/Books/AuthorID/,AuthorID=49473,65279860000,600,65279962800,52,200,2450429904,0
2025-11-11,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,31039453700,166100,31039657900,53920,200,41943040,15625000
2025-11-11,/Stocks/Library,LibraryName=Better program until those,65647709300,0,65647794500,0,204,2458818512,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,23087196500,0,23087221900,0,204,41943040,0
2025-11-11,/Authors/Book_ID/,Book_ID=1083621,65641401500,523800,65643199600,15246,200,2450429904,0
2025-11-11,/Books/{format}/,ID_Book=110296 ISBN=null Title=null Sinopse=null,62186921100,441700,62187591800,16082,200,2442041296,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Model firm do,21981283200,0,21981401900,0,204,0,0
2025-11-11,/Books/AuthorName/,Author_Name=Travel compare place speak,61835816165200,0,80733693000,0,204,1721642520,0
2025-11-11,/Stocks/BookTitle/,BookTitle=Explain boy while process,98531511700,0,98531655300,0,204,2450429904,0
2025-11-11,/Books/AuthorName/,Author_Name=Value standard Republican Republican,61839860992200,0,67997484200,0,204,50331648,0
2025-11-11,/Reservations/ClientName/,ClientName=Box charge century,48579806300,0,48579888700,0,204,12582912,0
2025-11-11,/Stocks/BookTitle/,BookTitle=Current key reveal issue,52396821700,0,52396915200,0,204,25165824,0
2025-11-11,/Stocks/Library,LibraryName=Boy crime black recognize,61040306200,0,61040357100,0,204,50331648,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=313247 ID_Clients=null,58843102100,0,58843128200,0,204,50331648,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=488681 ID_Clients=null,59222891100,0,59222919500,0,204,75497472,0
2025-11-11,/Reservations/LibraryName/,LlibraryName=Turn morning movement,73108617300,0,73108662800,0,204,75497472,0
2025-11-11,/Stocks/Library,LibraryName=Relate to product treat,73840736100,0,73840780100,0,204,79691776,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=155452 ID_Clients=null,32169783500,0,32169811000,0,204,71303168,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Generation hair home,72553739300,0,72553853900,0,204,79691776,0
2025-11-11,/Authors/Book_ID/,Book_ID=1124239,77980972100,42800,77981200800,15895,200,79691776,15625000
2025-11-11,/Authors/Book_Name/,Book_Name=Least environment whether special,27588824400,0,27588873500,0,204,54525952,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Inside central walk,82125287600,0,82125409200,0,204,104857600,15625000
2025-11-11,/Authors/Book_Name/,Book_Name=Still market these similar,23033230300,0,23033297600,0,204,54525952,0
2025-11-11,/Library/{format}/,ID_Library=98223 Name=null Description=null Location=null,23036953300,556900,23037530600,54584,200,54525952,0
2025-11-11,/Reservations/LibraryName/,LlibraryName=Wonder Republican car,81675162400,0,81675212300,0,204,134217728,0
2025-11-11,/Reservations/{format}/,ID_Reservations=9945 ID_Library=null ID_Book=null ID_Clients=null,39090566600,71500,39090675900,71,200,289526248,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=78 Bibliograhy=null,39086551000,2097640400,41184314700,397709620,200,398578152,2984375000
2025-11-11,/Books/AuthorName/,Author_Name=Window put loss whose,61913543239600,0,66774605700,0,204,834785768,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=96 Bibliograhy=null,57644260700,0,57644365200,0,204,0,0
2025-11-11,/Reservations/{format}/,ID_Reservations=8530 ID_Library=null ID_Book=null ID_Clients=null,57649648500,13300,57649685600,71,200,0,0
2025-11-11,/Stocks/BookTitle/,BookTitle=Animal remain ability stuff follow,71361208200,0,71361286900,0,204,0,0
2025-11-11,/Reservations/ClientName/,ClientName=Close sing remain,71043254700,0,71043355100,0,204,0,0
2025-11-11,/Reservations/ClientName/,ClientName=Base race field,72165992000,0,72166060900,0,204,0,15625000
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=307549 ID_Book=null ID_Clients=null,58506002300,0,58506026900,0,204,0,0
2025-11-11,/Reservations/{format}/,ID_Reservations=9159 ID_Library=null ID_Book=null ID_Clients=null,54374634600,916600,54375579000,117,200,0,0
2025-11-11,/Authors/Book_Name/,Book_Name=Number car save upon,57498314400,0,57498359100,0,204,0,0
2025-11-11,/Authors/Book_Name/,Book_Name=Television down drive off,59193499700,0,59193537500,0,204,0,0
2025-11-11,/Authors/Book_Name/,Book_Name=Involve finish theory physical,47768542600,0,47768590800,0,204,0,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=7 Bibliograhy=null,42859193900,0,42859297400,0,204,0,0
2025-11-11,/Stocks/BookTitle/,BookTitle=Tough house ten,74526351600,0,74526433700,0,204,0,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=1002196 ID_Clients=null,36812915300,0,36812951000,0,204,54525952,0
2025-11-11,/Authors/Book_Name/,Book_Name=Yourself at face election,40252306000,0,40252351700,0,204,0,0
2025-11-11,/Authors/Book_Name/,Book_Name=Small ball far she,39333067000,0,39333138600,0,204,54525952,0
2025-11-11,/Reservations/LibraryName/,LlibraryName=Interest quality kind but,91655281500,0,91655321700,0,204,0,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=81133,45042090200,0,45042119100,0,204,54525952,0
2025-11-11,/Clients/{format}/,ID_Client=25452 Name=null Phone=null Email=null  Adress=null,45051481100,21700,45051579100,11891,200,58720256,0
2025-11-11,/Authors/{format}/,ID_Authors=13462 Name=null Age=null Bibliograhy=null,45070776700,1082700,45071935700,24055,200,58720256,0
2025-11-11,/Authors/{format}/,ID_Authors=16169 Name=null Age=null Bibliograhy=null,45075965600,80700,45076121400,21914,200,58720256,0
2025-11-11,/Authors/Book_Name/,Book_Name=Indicate instead perform myself,48047650700,0,48047692700,0,204,58720256,0
2025-11-11,/Stocks/Library,LibraryName=Detail deal customer,74535144000,0,74535221700,0,204,0,0
2025-11-11,/Stocks/BookTitle/,BookTitle=Main international believe time,58774210300,0,58774329200,0,204,62914560,0
2025-11-11,/Clients/{format}/,ID_Client=25743 Name=null Phone=null Email=null  Adress=null,57849329400,15500,57849392800,11988,200,58720256,0
2025-11-11,/Library/{format}/,ID_Library=null Name=null Description=null Location=Example front article year wonder,68070851300,0,68070885900,0,204,0,0
2025-11-11,/Reservations/{format}/,ID_Reservations=9205 ID_Library=null ID_Book=null ID_Clients=null,56987855800,285100,56988161700,116,200,29360128,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=201291 ID_Book=null ID_Clients=null,56990437100,0,56990457600,0,204,29360128,0
2025-11-11,/Library/{format}/,ID_Library=null Name=null Description=null Location=To fund voice computer,86597939900,0,86597973300,0,204,0,0
2025-11-11,/Library/{format}/,ID_Library=null Name=null Description=null Location=Them bed,68453472200,9355500,68462854300,6517102,200,100663296,31250000
2025-11-11,/Reservations/ClientName/,ClientName=Apply throw perform against,70449054700,0,70449124100,0,204,109051904,0
2025-11-11,/Reservations/ClientName/,ClientName=Thousand stop staff eight conference,70449122300,0,70449190400,0,204,109051904,0
2025-11-11,/Authors/Book_Name/,Book_Name=Less message herself never,58801269700,0,58801311000,0,204,75497472,0
2025-11-11,/Books/{format}/,ID_Book=96996 ISBN=null Title=null Sinopse=null,134543553000,35600,134543733000,15931,200,0,0
2025-11-11,/Reservations/LibraryName/,LlibraryName=Across sing between huge,74849076100,0,74849112200,0,204,113246208,0
2025-11-11,/Books/{format}/,ID_Book=null ISBN=null Title=Go theory purpose list more Sinopse=null,73461361100,0,73461466400,0,204,79691776,0
