dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-08,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,12210200,34200,13265600,303,200,4194304,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,338811300,87509100,426389900,6638196,200,58720256,93750000
2025-11-08,/Stocks/Library,LibraryName=Nation eat work language,1541375800,0,1541416100,0,204,71303168,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Involve key Location=null,1577335900,104100,1577459000,5855,200,67108864,0
2025-11-08,/Books/AuthorName/,Author_Name=Than people area strategy,238436909829100,0,1648301300,0,204,71303168,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Compare car what,1654787800,0,1654845900,0,204,71303168,0
2025-11-08,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,1758742700,0,1758784000,0,204,71303168,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,1753207800,0,1753221800,0,204,67108864,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,1764955100,0,1765006000,0,204,67108864,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,2127457900,0,2127525600,0,204,67108864,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,2365768300,0,2365799100,0,204,71303168,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,2459034800,16614600,2475725000,3878917,200,100663296,46875000
2025-11-08,/Authors/Book_Name/,Book_Name=Box run knowledge music,2599803300,0,2599827200,0,204,109051904,0
2025-11-08,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,2604649600,0,2604667500,0,204,104857600,15625000
2025-11-08,/Reservations/ClientName/,ClientName=Power which loss,2977517300,0,2977687100,0,204,109051904,15625000
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,3139911900,0,3139934800,0,204,104857600,0
2025-11-08,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,3143018900,14400,3143052400,342,200,104857600,0
2025-11-08,/Reservations/ClientName/,ClientName=How good shoulder history position,3689052900,0,3689113100,0,204,109051904,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,3795164300,0,3795226400,0,204,104857600,0
2025-11-08,/Stocks/Library,LibraryName=Same service blue themselves design,3882604400,0,3882636800,0,204,109051904,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,4346872700,0,4346895500,0,204,104857600,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,4349448500,0,4349502000,0,204,104857600,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Light bed bed,4508588000,0,4508652000,0,204,109051904,0
2025-11-08,/Books/AuthorID/,AuthorID=56330,4542877000,500,4542977000,0,200,109051904,0
2025-11-08,/Stocks/Library,LibraryName=Along family threat,4691028100,0,4691070100,0,204,109051904,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,4774423200,0,4774498100,0,204,104857600,0
2025-11-08,/Books/AuthorID/,AuthorID=50004,4822957000,700,4823019700,52,200,109051904,0
2025-11-08,/Books/AuthorID/,AuthorID=49424,4868737900,300,4868962800,52,200,109051904,0
2025-11-08,/Stocks/Library,LibraryName=Forward eye save,5102972000,0,5103006000,0,204,109051904,0
2025-11-08,/Authors/Book_Name/,Book_Name=Director concern exist trouble,3791032300,0,3791069500,0,204,37748736,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,5401035200,0,5401178200,0,204,109051904,0
