dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-14,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,53844500,35500,53905400,70,200,4194304,0
2025-11-14,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,54274200,120000,54415200,53926,200,4194304,0
2025-11-14,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,31332281700,0,31332428200,0,204,37748736,0
2025-11-14,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,31330918600,0,31330941900,0,204,29360128,0
2025-11-14,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,31725780400,40619500,31766426900,6325478,200,67108864,46875000
2025-11-14,/Stocks/Library,LibraryName=Nation eat work language,31668370700,0,32034695200,0,204,83886080,0
2025-11-14,/Stocks/Library,LibraryName=Generation ready open likely,31772363100,0,32135447700,0,204,83886080,31250000
2025-11-14,/Reservations/LibraryName/,LlibraryName=Store apply different next,32487721500,0,32487757700,0,204,83886080,0
2025-11-14,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,32897014900,0,32897043300,0,204,75497472,0
2025-11-14,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,35922373800,0,36284357100,0,204,75497472,62500000
2025-11-14,/Authors/Book_Name/,Book_Name=Box run knowledge music,36545970800,0,36907953400,0,204,75497472,31250000
2025-11-14,/Stocks/Library,LibraryName=Forward eye save,57544330500,0,57911645000,0,204,83886080,0
2025-11-14,/Stocks/Library,LibraryName=Same service blue themselves design,57570522100,0,57937716100,0,204,83886080,0
2025-11-14,/Stocks/Library,LibraryName=Rule more environment others,57877041500,0,58245242000,0,204,83886080,15625000
2025-11-14,/Stocks/Library,LibraryName=Along family threat,61351548200,0,61719900000,0,204,92274688,15625000
2025-11-14,/Authors/Book_Name/,Book_Name=Director concern exist trouble,34600750800,0,34610921100,0,204,58720256,0
2025-11-14,/Reservations/BookTitle/,BookTitle=Compare car what,74582202200,0,74960817600,0,204,130023424,0
2025-11-14,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,74782553900,0,75156668000,0,204,130023424,15625000
2025-11-14,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,44962225100,0,44971104400,0,204,46137344,0
2025-11-14,/Authors/Book_ID/,Book_ID=1083621,76557506900,742100,77005648900,15246,200,121634816,15625000
2025-11-14,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,77374319200,0,77733722100,0,204,121634816,0
2025-11-14,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,41343071000,0,41343100100,0,204,58720256,0
2025-11-14,/Reservations/ClientName/,ClientName=How good shoulder history position,79704647400,0,80077018300,0,204,163577856,15625000
