dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-14,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,45711900,0,45739500,0,204,4194304,15625000
2025-11-14,/Reservations/LibraryName/,LlibraryName=Store apply different next,1423506900,0,1423554500,0,204,20971520,0
2025-11-14,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,1410586100,0,1410606800,0,204,16777216,0
2025-11-14,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,1441997800,0,1442047300,0,204,20971520,0
2025-11-14,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,1467758100,0,1467825800,0,204,16777216,0
2025-11-14,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,2305967000,6851600,2312840300,1415,200,20971520,0
2025-11-14,/Stocks/Library,LibraryName=Along family threat,2092681800,0,2369186500,0,204,25165824,15625000
2025-11-14,/Reservations/BookTitle/,BookTitle=Light bed bed,2991771800,0,3274213100,0,204,25165824,15625000
2025-11-14,/Reservations/BookTitle/,BookTitle=Compare car what,2992061500,0,3275083600,0,204,25165824,15625000
2025-11-14,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,3262360100,0,3432190100,0,204,8388608,0
2025-11-14,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,3382227800,0,3653289200,0,204,20971520,46875000
2025-11-14,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,3449729500,51500,3720371200,303,200,50331648,15625000
2025-11-14,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,3845199700,0,3845218100,0,204,104857600,0
2025-11-14,/Books/AuthorName/,Author_Name=Than people area strategy,3911025800,0,4182371200,0,204,113246208,15625000
2025-11-14,/Reservations/ClientName/,ClientName=How good shoulder history position,2906105600,0,2930963400,0,204,92274688,0
2025-11-14,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,4061363700,0,4346168700,0,204,109051904,15625000
2025-11-14,/Authors/Book_Name/,Book_Name=Box run knowledge music,3125912300,0,3136770400,0,204,92274688,0
2025-11-14,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,2289706800,92300,2289840300,342,200,88080384,15625000
2025-11-14,/Books/AuthorID/,AuthorID=51290,4424071000,700,4699839700,0,200,109051904,0
2025-11-14,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,4702840500,0,4969606200,0,204,109051904,15625000
2025-11-14,/Books/AuthorName/,Author_Name=Major yeah view bring,4742341900,0,5013028400,0,204,109051904,0
2025-11-14,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,3542984100,0,3554692600,0,204,88080384,0
2025-11-14,/Books/AuthorID/,AuthorID=56330,4768164400,300,5042848400,0,200,109051904,15625000
2025-11-14,/Reservations/ClientName/,ClientName=Power which loss,1493939900,0,1508739400,0,204,88080384,0
2025-11-14,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,5667571500,0,5941667300,0,204,109051904,31250000
2025-11-14,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,5570034600,711100,5943719500,264,200,109051904,0
2025-11-14,/Stocks/Library,LibraryName=Same service blue themselves design,2102839000,0,2111151300,0,204,4194304,0
2025-11-14,/Books/AuthorID/,AuthorID=51857,5680173700,9192600,5976306500,269,200,109051904,0
2025-11-14,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,5910743900,0,6181091800,0,204,109051904,0
2025-11-14,/Books/AuthorID/,AuthorID=50004,5917448400,400,6193945200,52,200,109051904,15625000
2025-11-14,/Stocks/Library,LibraryName=Nation eat work language,2559816800,0,2565339700,0,204,54525952,0
2025-11-14,/Authors/Book_Name/,Book_Name=Director concern exist trouble,1448663700,0,1456088000,0,204,0,0
2025-11-14,/Books/AuthorName/,Author_Name=Off local should want,6368671500,0,6637076800,0,204,113246208,31250000
2025-11-14,/Stocks/Library,LibraryName=Rule more environment others,2231420700,0,2235558000,0,204,0,0
2025-11-14,/Books/AuthorID/,AuthorID=49424,2611557700,300,2626368600,52,200,0,0
2025-11-14,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,2138213600,0,2148241400,0,204,0,0
2025-11-14,/Reservations/ClientName/,ClientName=Write how media bit,1253823200,0,1261059800,0,204,0,0
2025-11-14,/Stocks/Library,LibraryName=Lot rich interesting lead,2221587300,0,2225624600,0,204,0,0
2025-11-14,/Stocks/Library,LibraryName=Generation ready open likely,3362289200,0,3366768400,0,204,0,0
2025-11-14,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,1098090700,0,1098119900,0,204,0,0
2025-11-14,/Books/AuthorID/,AuthorID=49473,2619963300,400,2630584600,52,200,0,0
2025-11-14,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,700951400,0,700974800,0,204,0,0
2025-11-14,/Stocks/Library,LibraryName=Forward eye save,3042283000,0,3047219200,0,204,0,0
2025-11-14,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,588323000,768700,589118200,490,200,0,0
2025-11-14,/Authors/Book_ID/,Book_ID=1083621,3490990500,335900,3518853300,328,200,4194304,15625000
