dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-11,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,15377386900,0,15394923599,0,204,4194304,0
2025-11-11,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,27405290400,0,27405322899,0,204,8388608,15625000
2025-11-11,/Reservations/LibraryName/,LlibraryName=Store apply different next,27435355400,0,27435382800,0,204,8388608,15625000
2025-11-11,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,28130529300,0,28130557801,0,204,4194304,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,28125012200,59500,28142914700,70,200,8388608,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Compare car what,29520497401,0,29550456799,0,204,12582912,0
2025-11-11,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,29747200400,0,29747222099,0,204,8388608,0
2025-11-11,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,30010276500,53941301,30066409501,6325478,200,71303168,62500000
2025-11-11,/Stocks/Library,LibraryName=Along family threat,31210329400,0,31240162500,0,204,104857600,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Light bed bed,41052471000,0,41082409600,0,204,714948656,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,41443939000,1012083600,42699650000,360844868,200,2902278192,1734375000
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,42173517600,3791021701,46183195900,397406969,200,3709681712,4578125000
2025-11-11,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,47197008400,78200,47214831501,21873,200,4116529200,0
2025-11-11,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,32138546301,0,32138647600,0,204,4112334896,0
2025-11-11,/Reservations/ClientName/,ClientName=How good shoulder history position,27840138100,0,27840311500,0,204,4116529200,0
2025-11-11,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,55233717300,0,55251340500,0,204,4120723504,0
2025-11-11,/Authors/Book_Name/,Book_Name=Box run knowledge music,29517975500,0,29518040099,0,204,4116529200,0
2025-11-11,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,30817996000,0,30818038599,0,204,4112334896,0
2025-11-11,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,29241594100,188401,29241822500,53926,200,4112334896,0
2025-11-11,/Books/AuthorID/,AuthorID=56330,59052433100,700,59071883001,0,200,4120723504,0
