dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,49731300,0,65454100,0,204,0,0
2025-11-08,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,909309600,0,909335300,0,204,4194304,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,1081616300,0,1081648100,0,204,4194304,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,1381413900,0,1382223500,0,204,8388608,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,1560900300,0,1560924300,0,204,4194304,0
2025-11-08,/Stocks/Library,LibraryName=Along family threat,1733707800,0,1763299300,0,204,8388608,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Store apply different next,2428688600,0,2428808300,0,204,8388608,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,2832460600,6632900,2839110900,1415,200,4194304,0
2025-11-08,/Books/AuthorName/,Author_Name=Off local should want,3910987700,0,3931468100,0,204,12582912,0
2025-11-08,/Books/AuthorName/,Author_Name=Major yeah view bring,3915337700,0,3935734500,0,204,12582912,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,3973776600,20944300,4012162200,3878917,200,41943040,46875000
2025-11-08,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,4172331700,9600,4188165500,379,200,71303168,0
2025-11-08,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,4173296900,572800,4191419000,264,200,71303168,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,4152653200,68253500,4239609400,6638196,200,117440512,78125000
2025-11-08,/Reservations/BookTitle/,BookTitle=Compare car what,4332107400,0,4361875300,0,204,130023424,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,4423816600,0,4423912400,0,204,121634816,0
