dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-10,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,47833700,38700,56497200,21873,200,4194304,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Light bed bed,0,0,17568160000,0,204,8388608,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Compare car what,0,0,17583108400,0,204,8388608,0
2025-11-10,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,22792240200,0,22792493600,0,204,4194304,0
2025-11-10,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,25312850300,0,25313107500,0,204,8388608,0
2025-11-10,/Stocks/Library,LibraryName=Generation ready open likely,35471300300,0,35479248400,0,204,12582912,0
2025-11-10,/Stocks/Library,LibraryName=Forward eye save,35505211900,0,35513460600,0,204,12582912,0
2025-11-10,/Stocks/Library,LibraryName=Along family threat,35516654600,0,35523233500,0,204,12582912,0
2025-11-10,/Stocks/Library,LibraryName=Same service blue themselves design,35521695300,0,35529995400,0,204,12582912,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,35511627800,57500,35511704400,70,200,8388608,0
2025-11-10,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,35581141500,0,35581289400,0,204,12582912,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,0,0,40168204600,0,204,75497472,0
2025-11-10,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,48298068700,0,48298305900,0,204,201236240,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,48612977600,0,48613317500,0,204,213819152,0
2025-11-10,/Reservations/ClientName/,ClientName=How good shoulder history position,48630401200,0,48637992500,0,204,218013456,0
2025-11-10,/Reservations/ClientName/,ClientName=Power which loss,48630319900,0,48637869900,0,204,218013456,0
2025-11-10,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,49380852300,41485700,49422381500,6325478,200,276733712,62500000
2025-11-10,/Authors/Book_Name/,Book_Name=Director concern exist trouble,47934690200,0,47935016400,0,204,1633994576,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,69077863400,0,69078053900,0,204,1294273400,0
2025-11-10,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,54867834500,2926213600,74781807900,397439795,200,1965502840,20078125000
2025-11-10,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,40728293600,0,40728498600,0,204,2770809208,0
2025-11-10,/Reservations/LibraryName/,LlibraryName=Store apply different next,91818769500,0,91818801200,0,204,2787586424,15625000
2025-11-10,/Books/AuthorName/,Author_Name=Than people area strategy,94399580400,0,94402674800,0,204,2787586424,0
2025-11-10,/Reservations/ClientName/,ClientName=Write how media bit,59401539200,0,59401721300,0,204,2779197816,0
2025-11-10,/Books/AuthorID/,AuthorID=56330,94968309200,600,94970389200,0,200,2791780728,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,59419845600,0,59419873100,0,204,2783392120,31250000
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,54312031000,0,54312080000,0,204,2607321704,0
2025-11-10,/Authors/{format}/,ID_Authors=null Name=Across decide Age=null Bibliograhy=null,80116683500,41867200,80255469800,6344080,200,2925998456,140625000
2025-11-10,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,106962299900,0,106962332200,0,204,2951164280,0
2025-11-10,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,57505352900,536800,57505921200,54555,200,2689110632,0
2025-11-10,/Books/AuthorID/,AuthorID=49473,106939990600,300,106941184000,52,200,2951164280,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Wait poor evening book,0,0,76494207300,0,204,2959552888,0
2025-11-10,/Reservations/{format}/,ID_Reservations=9193 ID_Library=null ID_Book=null ID_Clients=null,51436905500,8500,51436942700,73,200,222298112,0
2025-11-10,/Authors/{format}/,ID_Authors=null Name=null Age=86 Bibliograhy=null,37608178600,0,37608364000,0,204,218103808,0
2025-11-10,/Authors/{format}/,ID_Authors=16361 Name=null Age=null Bibliograhy=null,35009914300,203500,35010516100,24259,200,213909504,0
2025-11-10,/Reservations/ClientName/,ClientName=Interview many job,69839528900,0,69839774900,0,204,1001618712,0
2025-11-10,/Stocks/Library,LibraryName=Old send social recent,84566188300,0,84566258700,0,204,2787676776,0
2025-11-10,/Authors/Book_ID/,Book_ID=1083621,133192088400,245200,133194417600,15246,200,3001495928,0
