dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-08,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,53803100,55800,54027400,342,200,0,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,1211564000,41365300,1625770400,3878917,200,155189248,453125000
2025-11-08,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,0,0,1998126600,0,204,167772160,0
2025-11-08,/Stocks/Library,LibraryName=Rule more environment others,2739331800,0,2760762700,0,204,167772160,0
2025-11-08,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,2709508000,18181700,2731440900,264,200,163577856,31250000
2025-11-08,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,2853886300,0,2853940300,0,204,167772160,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,2956266300,0,2956448200,0,204,163577856,0
2025-11-08,/Authors/Book_Name/,Book_Name=Box run knowledge music,3043937800,0,3044114200,0,204,163577856,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,3139497800,0,3139527400,0,204,163577856,0
2025-11-08,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,3152767700,22800,3154943800,379,200,163577856,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,3734161900,0,3734335400,0,204,163577856,0
2025-11-08,/Books/AuthorID/,AuthorID=50004,3777501200,300,3777737400,52,200,163577856,0
2025-11-08,/Books/AuthorID/,AuthorID=56330,3792933000,300,3793150800,0,200,163577856,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,3899748400,0,3899906300,0,204,163577856,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Store apply different next,3963584400,0,3963617900,0,204,167772160,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,3988914300,899100,3989842400,1415,200,163577856,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,4002151500,0,4002294700,0,204,163577856,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Involve key Location=null,4129526900,45200,4129607100,5855,200,163577856,0
2025-11-08,/Reservations/ClientName/,ClientName=Power which loss,4258353200,0,4279866000,0,204,167772160,0
2025-11-08,/Reservations/ClientName/,ClientName=How good shoulder history position,4342408700,0,4366538100,0,204,167772160,0
2025-11-08,/Books/AuthorName/,Author_Name=Than people area strategy,4599573300,0,4599743600,0,204,184549376,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Light bed bed,0,0,4647907900,0,204,188743680,0
2025-11-08,/Stocks/Library,LibraryName=Forward eye save,4704640300,0,4727495300,0,204,0,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,4670487200,0,4670933200,0,204,0,0
2025-11-08,/Reservations/ID_Reservation/,ID_Reservation=18715,4710050700,305600,4737492300,590,200,0,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,4709431500,0,4709460100,0,204,0,0
2025-11-08,/Stocks/Library,LibraryName=Nation eat work language,4867842900,0,4890156800,0,204,22849888,0
2025-11-08,/Stocks/Library,LibraryName=Same service blue themselves design,5062388600,0,5085631100,0,204,115124576,0
2025-11-08,/Reservations/ID_Reservation/,ID_Reservation=18707,5064145300,160400,5090768700,563,200,115124576,15625000
2025-11-08,/Authors/Book_ID/,Book_ID=1083621,5038398500,91400,5038820400,328,200,115124576,0
2025-11-08,/Authors/Book_Name/,Book_Name=Director concern exist trouble,3127186900,0,3127333200,0,204,0,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,5089404300,0,5089525300,0,204,127707488,0
2025-11-08,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,5574810400,0,5574837900,0,204,35711744,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,4553645100,790658900,5816298400,6670858,200,107014912,1156250000
2025-11-08,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,3118492900,0,3118957800,0,204,0,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Compare car what,0,0,6373755200,0,204,127986432,0
2025-11-08,/Reservations/ClientName/,ClientName=Write how media bit,3375558600,0,3375692300,0,204,0,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=Across decide Age=null Bibliograhy=null,3782587900,193200,3782961900,1699,200,0,0
2025-11-08,/Stocks/Library,LibraryName=Generation ready open likely,6967926800,0,6989543500,0,204,127986432,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,3205662100,0,3205756000,0,204,0,0
2025-11-08,/Stocks/Library,LibraryName=Along family threat,7048959400,0,7070322500,0,204,127986432,15625000
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,3108916500,0,3108944700,0,204,0,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,7316387900,0,7316740000,0,204,127986432,0
2025-11-08,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,3312083500,151500,3312266700,490,200,0,0
2025-11-08,/Stocks/Library,LibraryName=Lot rich interesting lead,4660952600,0,4661055400,0,204,0,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,7889151900,0,7889179600,0,204,127986432,0
2025-11-08,/Books/AuthorID/,AuthorID=51290,7925838300,400,7926019600,0,200,127986432,0
2025-11-08,/Reservations/ID_Reservation/,ID_Reservation=18763,7973324200,36000,8009828700,391,200,132180736,15625000
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=1275 Catherine Lane Suite 635 West Gabrielleview  PW 99902,3381292200,0,3381453500,0,204,0,15625000
2025-11-08,/Books/{format}/,ID_Book=110296 ISBN=null Title=null Sinopse=null,3302944500,122400,3303309000,262,200,147079584,15625000
2025-11-08,/Reservations/BookTitle/,BookTitle=Wait poor evening book,0,0,4982096700,0,204,0,0
2025-11-08,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,8269079600,0,8269247300,0,204,127986432,0
2025-11-08,/Reservations/ClientName/,ClientName=Adult group,431917300,0,432008800,0,204,0,0
2025-11-08,/Books/AuthorName/,Author_Name=Off local should want,8539488100,0,8539657200,0,204,127986432,0
2025-11-08,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,3448719700,14600,3448769400,486,200,278944,0
2025-11-08,/Books/AuthorName/,Author_Name=Sense training once coach,5473145300,0,5473335600,0,204,0,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,3055446800,0,3055481600,0,204,92274688,0
2025-11-08,/Authors/Book_ID/,Book_ID=1055939,2803271300,153300,2803736600,218,200,4194304,0
2025-11-08,/Authors/Book_ID/,Book_ID=1147468,5499752900,43700,5500065500,245,200,0,0
2025-11-08,/Authors/{format}/,ID_Authors=16361 Name=null Age=null Bibliograhy=null,2143810700,131400,2144356800,439,200,4194304,0
2025-11-08,/Books/AuthorID/,AuthorID=49424,8761452300,400,8761682100,52,200,132180736,0
2025-11-08,/Authors/Book_ID/,Book_ID=1099900,4854802400,19200,4855101500,282,200,0,0
2025-11-08,/Books/AuthorName/,Author_Name=Major yeah view bring,9030750800,0,9030908800,0,204,132180736,0
2025-11-08,/Stocks/Library,LibraryName=Better program until those,5284968300,0,5285082200,0,204,0,0
2025-11-08,/Stocks/BookTitle/,BookTitle=Explain boy while process,0,0,4634848400,0,204,0,0
2025-11-08,/Stocks/Library,LibraryName=Old send social recent,5355113600,0,5355189900,0,204,0,0
2025-11-08,/Books/AuthorID/,AuthorID=49473,9302332800,300,9302549300,52,200,127986432,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Radio young,9520771800,0,9543093300,0,204,153152256,0
2025-11-08,/Reservations/ClientName/,ClientName=Box charge century,1635688800,0,1635870000,0,204,29360128,0
2025-11-08,/Reservations/ClientName/,ClientName=Interview many job,5160817300,0,5160979800,0,204,14441456,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=978-0-17-180434-8 Title=null Sinopse=null,4612676800,0,4612834300,0,204,60299856,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=65 Bibliograhy=null,1550663100,873634800,2864421500,6803725,200,144185936,1218750000
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=86 Bibliograhy=null,4484969200,0,4485097700,0,204,165157456,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Model firm do,0,0,4109716600,0,204,165157456,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Inside central walk,0,0,2937261200,0,204,160963152,0
2025-11-08,/Books/AuthorName/,Author_Name=Myself cause deal tonight,7021001600,0,7021129500,0,204,125371728,0
2025-11-08,/Stocks/Library,LibraryName=Relate to product treat,2695711400,0,2695808000,0,204,160963152,0
2025-11-08,/Authors/Book_ID/,Book_ID=1157526,7547190300,16200,7547560400,358,200,125371728,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=As character,3369438200,0,3369490600,0,204,160963152,0
2025-11-08,/Books/AuthorID/,AuthorID=51857,11361993500,557100,11362715900,269,200,288949584,15625000
