dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-11,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,24445200,55700,25587900,11913,200,0,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,15210326600,1222582500,16433011600,360844868,200,3018577616,1906250000
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,14758715700,3530882100,18289810200,397406969,200,3945518800,3734375000
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,24923039700,170800,24923250900,70,200,4348171984,0
2025-11-11,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,27041570600,0,27041612100,0,204,4348171984,0
2025-11-11,/Stocks/Library,LibraryName=Along family threat,37989351400,0,37989494100,0,204,4356560592,0
2025-11-11,/Reservations/LibraryName/,LlibraryName=Store apply different next,38463959700,0,38463997900,0,204,4356560592,0
2025-11-11,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,45355351500,0,45355479200,0,204,4352366288,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Light bed bed,53319090800,0,53319344300,0,204,4360754896,0
2025-11-11,/Authors/Book_Name/,Book_Name=Box run knowledge music,43712749900,0,43714262800,0,204,29360128,15625000
2025-11-11,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,24203337800,152000,24203515200,53926,200,20971520,0
2025-11-11,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,35625286800,0,35625474000,0,204,25165824,0
2025-11-11,/Books/AuthorID/,AuthorID=50004,62721876400,700,62722069400,52,200,4377532112,0
2025-11-11,/Books/AuthorID/,AuthorID=51857,62734460300,400,62734528400,52,200,4377532112,0
2025-11-11,/Books/AuthorName/,Author_Name=Than people area strategy,65416670525300,0,66421343200,0,204,4377532112,15625000
2025-11-11,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,69143829800,0,69144087500,0,204,4377532112,0
2025-11-11,/Reservations/ClientName/,ClientName=How good shoulder history position,56227713500,0,56228996000,0,204,830472192,0
2025-11-11,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,73526160000,0,73526216500,0,204,4373337808,0
2025-11-11,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,76912107100,0,76912222000,0,204,4373337808,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,23672252500,0,23672351500,0,204,4194304,0
2025-11-11,/Stocks/Library,LibraryName=Rule more environment others,28369193700,0,28369324200,0,204,4194304,0
2025-11-11,/Stocks/Library,LibraryName=Generation ready open likely,28372078500,0,28372192400,0,204,4194304,0
2025-11-11,/Books/AuthorName/,Author_Name=Major yeah view bring,65440274121100,0,90024905700,0,204,4381726416,0
2025-11-11,/Books/AuthorID/,AuthorID=49473,29977829000,9400,29977984800,52,200,4194304,15625000
2025-11-11,/Books/AuthorID/,AuthorID=49424,30034768800,300,30034846300,52,200,4194304,0
2025-11-11,/Authors/Book_Name/,Book_Name=Director concern exist trouble,28077244400,0,28077286600,0,204,4194304,0
2025-11-11,/Stocks/Library,LibraryName=Nation eat work language,32430539700,0,32430728200,0,204,4194304,0
2025-11-11,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,67758704200,0,67758793300,0,204,29360128,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,15792837200,0,15792864400,0,204,4194304,0
2025-11-11,/Reservations/ClientName/,ClientName=Power which loss,34296732000,0,34296810500,0,204,8388608,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,4427786500,0,4427814300,0,204,4194304,0
2025-11-11,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,36314162000,0,36314242000,0,204,8388608,0
2025-11-11,/Stocks/Library,LibraryName=Same service blue themselves design,39544076900,0,39544266900,0,204,8388608,0
2025-11-11,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,9508973900,1464700,9510467100,54555,200,4194304,15625000
2025-11-11,/Authors/Book_ID/,Book_ID=1147468,26154049300,73100,26154259800,15901,200,8388608,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Wait poor evening book,34326242900,0,34326519200,0,204,8388608,0
2025-11-11,/Reservations/ClientName/,ClientName=Write how media bit,40120997200,0,40121184600,0,204,8388608,0
2025-11-11,/Stocks/Library,LibraryName=Forward eye save,47196731100,0,47196776100,0,204,8388608,0
2025-11-11,/Authors/Book_ID/,Book_ID=1083621,47197446800,1142400,47202330500,15246,200,8388608,0
2025-11-11,/Stocks/Library,LibraryName=Lot rich interesting lead,50482049400,0,50482125900,0,204,8388608,0
2025-11-11,/Stocks/Library,LibraryName=Better program until those,33755215700,0,33755277400,0,204,4194304,0
2025-11-11,/Stocks/BookTitle/,BookTitle=Explain boy while process,27025053200,0,27025172800,0,204,8388608,0
2025-11-11,/Books/AuthorName/,Author_Name=Sense training once coach,65479767709300,0,55984621300,0,204,12582912,0
2025-11-11,/Reservations/ClientName/,ClientName=Interview many job,32572831500,0,32572988300,0,204,4194304,0
2025-11-11,/Library/{format}/,ID_Library=89004 Name=null Description=null Location=null,31947033000,534400,31947589800,54569,200,4194304,0
2025-11-11,/Stocks/Library,LibraryName=Old send social recent,45291229400,0,45291285400,0,204,8388608,0
2025-11-11,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,28076195700,96500,28076319800,53920,200,4194304,0
2025-11-11,/Authors/Book_ID/,Book_ID=1099900,46910567600,32800,46910758500,16005,200,8388608,0
2025-11-11,/Books/AuthorName/,Author_Name=Value standard Republican Republican,65491526497500,0,33951915500,0,204,4194304,0
2025-11-11,/Reservations/ID_Reservation/,ID_Reservation=19892,77453143800,576500,103301553200,15244,200,33554432,0
2025-11-11,/Reservations/ID_Reservation/,ID_Reservation=19595,72697456400,31700,78636059200,15075,200,16777216,15625000
2025-11-11,/Reservations/ID_Reservation/,ID_Reservation=18707,123989976100,316500,141299336300,15201,200,4394309328,0
2025-11-11,/Reservations/ID_Reservation/,ID_Reservation=18461,62174453600,18800,87977214600,14977,200,33554432,0
2025-11-11,/Reservations/ID_Reservation/,ID_Reservation=18763,53871515900,21400,81174901200,14987,200,16777216,0
2025-11-11,/Books/{format}/,ID_Book=110296 ISBN=null Title=null Sinopse=null,41631349700,494700,41632058900,16082,200,8388608,0
2025-11-11,/Reservations/{format}/,ID_Reservations=9193 ID_Library=null ID_Book=null ID_Clients=null,9672093100,7800,9672128000,73,200,4194304,0
2025-11-11,/Authors/{format}/,ID_Authors=16361 Name=null Age=null Bibliograhy=null,9134838400,422800,9135341500,24259,200,12582912,0
2025-11-11,/Authors/Book_ID/,Book_ID=1157526,54176142500,30600,54176316600,16010,200,20971520,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=86 Bibliograhy=null,12398397600,0,12398477300,0,204,12582912,0
2025-11-11,/Books/AuthorName/,Author_Name=Travel compare place speak,65500068845800,0,50141167200,0,204,16777216,0
2025-11-11,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=1275 Catherine Lane Suite 635 West Gabrielleview  PW 99902,59612793200,0,59612929900,0,204,16777216,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,36495956300,0,36495982800,0,204,16777216,0
2025-11-11,/Reservations/ID_Reservation/,ID_Reservation=18737,82875149800,26200,108720242200,14965,200,46137344,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Model firm do,19099196200,0,19099301700,0,204,12582912,0
2025-11-11,/Authors/Book_ID/,Book_ID=1055939,42065906000,361300,42066474300,15247,200,37748736,0
2025-11-11,/Reservations/ClientName/,ClientName=Box charge century,27702920300,0,27703007100,0,204,0,0
2025-11-11,/Authors/{format}/,ID_Authors=null Name=null Age=65 Bibliograhy=null,32535249100,2620115800,35155460200,392825768,200,0,2843750000
2025-11-11,/Books/AuthorID/,AuthorID=50347,38268321600,700,38268429400,52,200,0,0
2025-11-11,/Stocks/BookTitle/,BookTitle=Current key reveal issue,39414949200,0,39415091500,0,204,0,0
2025-11-11,/Reservations/ID_Reservation/,ID_Reservation=19454,69898910200,41000,89971342100,14992,200,0,15625000
2025-11-11,/Authors/{format}/,ID_Authors=null Name=Majority those Age=null Bibliograhy=null,52583411899,8281301,52591786600,5631067,200,0,46875000
2025-11-11,/Stocks/Library,LibraryName=Boy crime black recognize,59579289200,0,59579363500,0,204,0,0
2025-11-11,/Authors/Book_ID/,Book_ID=1092669,60987063000,83301,60987497200,15919,200,0,0
2025-11-11,/Reservations/{format}/,ID_Reservations=null ID_Library=418639 ID_Book=null ID_Clients=null,21591792899,0,21591826300,0,204,83886080,0
2025-11-11,/Books/AuthorName/,Author_Name=Buy under movement little,65563269074200,0,70339874000,0,204,0,0
2025-11-11,/Reservations/LibraryName/,LlibraryName=Turn morning movement,53491157799,0,53491198699,0,204,0,0
2025-11-11,/Reservations/BookTitle/,BookTitle=Inside central walk,69180056700,0,69180151300,0,204,0,0
2025-11-11,/Books/{format}/,ID_Book=35081 ISBN=null Title=null Sinopse=null,63424615800,431200,63425230700,16178,200,0,0
2025-11-11,/Authors/Book_ID/,Book_ID=1124239,59207089300,50501,59207263800,15895,200,0,0
2025-11-11,/Authors/Book_ID/,Book_ID=1086954,118789725899,43699,118789983799,15955,200,0,15625000
2025-11-11,/Clients/{format}/,ID_Client=null Name=null Phone=001-740-631-1564x0340 Email=null  Adress=null,665212900,0,665301501,0,204,0,0
2025-11-11,/Stocks/Library,LibraryName=Relate to product treat,70565899399,0,70565958400,0,204,0,0
