dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,28851000,0,29016700,0,204,0,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,586340400,17397700,603815500,3878917,200,54525952,46875000
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,586728600,72275700,659059600,6638196,200,92274688,109375000
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,1108164400,0,1108185900,0,204,100663296,0
2025-11-08,/Books/AuthorName/,Author_Name=Than people area strategy,237840959212400,0,1635448200,0,204,100663296,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,2389375300,0,2389448100,0,204,100663296,0
2025-11-08,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,2390948600,15400,2391027500,303,200,100663296,0
2025-11-08,/Stocks/Library,LibraryName=Along family threat,2829504800,0,2829621000,0,204,100663296,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,3159345600,0,3159371800,0,204,100663296,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,3258571800,0,3258633300,0,204,100663296,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,3325814700,0,3325874100,0,204,100663296,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,3916722100,0,3916777400,0,204,100663296,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Store apply different next,3983486800,0,3983661900,0,204,100663296,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Light bed bed,4010356400,0,4010456100,0,204,100663296,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,4012882100,0,4012996400,0,204,100663296,15625000
2025-11-08,/Books/AuthorID/,AuthorID=50004,4104413800,300,4104493400,52,200,100663296,0
2025-11-08,/Books/AuthorID/,AuthorID=51290,4126852400,300,4126986300,0,200,100663296,0
2025-11-08,/Books/AuthorName/,Author_Name=Major yeah view bring,237843564354800,0,4241348600,0,204,100663296,0
2025-11-08,/Authors/Book_Name/,Book_Name=Box run knowledge music,3796912000,0,3796978300,0,204,0,0
2025-11-08,/Books/AuthorName/,Author_Name=Off local should want,237843851301100,0,4528280900,0,204,100663296,0
2025-11-08,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,2126211900,33400,2126265400,342,200,0,0
2025-11-08,/Reservations/ClientName/,ClientName=How good shoulder history position,4035041800,0,4035154000,0,204,41943040,0
2025-11-08,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,3039619000,0,3039659000,0,204,0,15625000
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,4680275200,0,4680325100,0,204,100663296,0
2025-11-08,/Books/AuthorID/,AuthorID=56330,4698819900,400,4698915500,0,200,100663296,0
2025-11-08,/Books/AuthorID/,AuthorID=51857,4699012700,126700,4700636100,269,200,100663296,15625000
2025-11-08,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,4695558600,565200,4696329900,264,200,100663296,15625000
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,4725848900,445000,4726313300,1415,200,100663296,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,4855906100,0,4855934200,0,204,100663296,0
2025-11-08,/Reservations/ClientName/,ClientName=Power which loss,1688188300,0,1688279400,0,204,4194304,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Compare car what,5228741600,0,5228961300,0,204,104857600,0
2025-11-08,/Stocks/Library,LibraryName=Nation eat work language,1541094200,0,1541147000,0,204,4194304,15625000
2025-11-08,/Authors/Book_Name/,Book_Name=Director concern exist trouble,1010132000,0,1010169100,0,204,4194304,0
