dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-12,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,82796900,34400,82857200,70,200,12582912,15625000
2025-11-12,/Reservations/BookTitle/,BookTitle=Compare car what,17926117800,0,18269504500,0,204,25165824,0
2025-11-12,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,33873003700,0,34138790000,0,204,88080384,0
2025-11-12,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,33887280400,58400,34151696800,11913,200,92274688,15625000
2025-11-12,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,34511281100,0,34671199100,0,204,79691776,0
2025-11-12,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,40330406000,0,40330448100,0,204,96468992,15625000
2025-11-12,/Stocks/Library,LibraryName=Along family threat,40098564200,0,40366028700,0,204,96468992,15625000
2025-11-12,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,40886233700,0,40886259100,0,204,92274688,0
2025-11-12,/Reservations/LibraryName/,LlibraryName=Store apply different next,41110542800,0,41110574600,0,204,96468992,0
2025-11-12,/Reservations/BookTitle/,BookTitle=Light bed bed,48904545000,0,49177489500,0,204,172950408,15625000
2025-11-12,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,55648321800,0,55909724400,0,204,674169736,15625000
2025-11-12,/Authors/Book_Name/,Book_Name=Box run knowledge music,46238620900,0,48442665000,0,204,2070872968,0
2025-11-12,/Books/AuthorID/,AuthorID=50004,71616410800,1000,71885183800,52,200,3580822408,15625000
2025-11-12,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,37574923400,0,41379741600,0,204,3484353416,0
2025-11-12,/Reservations/ClientName/,ClientName=How good shoulder history position,60805503700,0,60818262800,0,204,3555656584,0
2025-11-12,/Books/AuthorID/,AuthorID=51857,78898794400,400,79166930900,52,200,3580822408,31250000
2025-11-12,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,48359104600,0,48367493400,0,204,3488547720,0
2025-11-12,/Reservations/ClientName/,ClientName=Power which loss,47345383800,0,47353716200,0,204,3484353416,0
2025-11-12,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,87969315600,5128900,88253985800,16187,200,3576628104,31250000
