dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-12,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,41534100,0,41559700,0,204,4194304,0
2025-11-12,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,46947300,73800,47040300,342,200,4194304,0
2025-11-12,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,1103463200,0,1103486900,0,204,25165824,0
2025-11-12,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,1182914200,0,1182937300,0,204,25165824,0
2025-11-12,/Library/{format}/,ID_Library=null Name=null Description=Involve key Location=null,1446292500,74100,1446391800,5855,200,25165824,0
2025-11-12,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,1576149600,0,1576175700,0,204,25165824,0
2025-11-12,/Stocks/Library,LibraryName=Generation ready open likely,1557989400,0,1956139100,0,204,33554432,15625000
2025-11-12,/Stocks/Library,LibraryName=Forward eye save,1855943100,0,2254286900,0,204,33554432,0
2025-11-12,/Stocks/Library,LibraryName=Same service blue themselves design,1971348200,0,2368923300,0,204,33554432,0
2025-11-12,/Stocks/Library,LibraryName=Nation eat work language,2013722600,0,2412873300,0,204,33554432,15625000
2025-11-12,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,2464199300,0,2464340900,0,204,33554432,0
2025-11-12,/Reservations/LibraryName/,LlibraryName=Store apply different next,2463762000,0,2463801700,0,204,33554432,0
2025-11-12,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,2019761900,22700,2453348100,303,200,25165824,0
2025-11-12,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,2165132600,0,2554234200,0,204,25165824,0
2025-11-12,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,2269315100,0,2661501700,0,204,25165824,0
2025-11-12,/Stocks/Library,LibraryName=Rule more environment others,2361270000,0,2756567300,0,204,33554432,0
2025-11-12,/Reservations/ClientName/,ClientName=Power which loss,2506904200,0,2915136100,0,204,33554432,15625000
2025-11-12,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,2902050900,7649200,2909720100,1415,200,25165824,0
2025-11-12,/Authors/Book_Name/,Book_Name=Box run knowledge music,2553473200,0,2945652600,0,204,29360128,0
2025-11-12,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,2814109900,0,3201219700,0,204,29360128,31250000
2025-11-12,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,2938528200,0,3326032500,0,204,29360128,15625000
2025-11-12,/Reservations/ClientName/,ClientName=How good shoulder history position,2970031800,0,3373973700,0,204,37748736,15625000
2025-11-12,/Stocks/Library,LibraryName=Along family threat,3021004700,0,3418398400,0,204,37748736,0
2025-11-12,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,3438781500,0,3867333000,0,204,75497472,15625000
2025-11-12,/Books/AuthorName/,Author_Name=Major yeah view bring,4941656700,0,5333243300,0,204,109051904,0
2025-11-12,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,4953799500,0,5340426500,0,204,109051904,0
2025-11-12,/Authors/Book_Name/,Book_Name=Director concern exist trouble,4479398400,0,4488612500,0,204,83886080,0
2025-11-12,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,5844120000,0,6237379500,0,204,109051904,31250000
2025-11-12,/Stocks/Library,LibraryName=Lot rich interesting lead,4965665400,0,4969702700,0,204,83886080,0
2025-11-12,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,4914504400,0,4925608100,0,204,83886080,0
2025-11-12,/Books/AuthorName/,Author_Name=Than people area strategy,6149774200,0,6539124600,0,204,109051904,0
2025-11-12,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,4314393200,0,4314478900,0,204,83886080,0
2025-11-12,/Reservations/ClientName/,ClientName=Write how media bit,4815707100,0,4825194600,0,204,83886080,0
2025-11-12,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,4643895700,0,4643924000,0,204,83886080,0
2025-11-12,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,6921427900,0,7308423000,0,204,109051904,0
2025-11-12,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,4514533800,409500,4514970400,490,200,83886080,0
2025-11-12,/Reservations/BookTitle/,BookTitle=Compare car what,7035482800,0,7438506000,0,204,117440512,15625000
2025-11-12,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,7072925900,0,7461142100,0,204,113246208,31250000
2025-11-12,/Reservations/BookTitle/,BookTitle=Light bed bed,7407309800,0,7808195700,0,204,121634816,0
2025-11-12,/Books/AuthorName/,Author_Name=Off local should want,7435431400,0,7822180000,0,204,113246208,15625000
2025-11-12,/Stocks/Library,LibraryName=Better program until those,5512951500,0,5518624600,0,204,88080384,0
2025-11-12,/Books/AuthorID/,AuthorID=51290,7600798900,300,7992660600,0,200,113246208,15625000
2025-11-12,/Stocks/Library,LibraryName=Old send social recent,5350429700,0,5354818000,0,204,88080384,0
2025-11-12,/Reservations/BookTitle/,BookTitle=Wait poor evening book,5851527100,0,5861028400,0,204,88080384,0
2025-11-12,/Books/AuthorName/,Author_Name=Sense training once coach,5699766700,0,5710671600,0,204,88080384,15625000
2025-11-12,/Books/AuthorID/,AuthorID=49424,7731148400,400,8125850800,52,200,113246208,0
2025-11-12,/Books/AuthorID/,AuthorID=50004,7767910200,300,8159849600,52,200,113246208,0
2025-11-12,/Library/{format}/,ID_Library=89004 Name=null Description=null Location=null,2823032100,356200,2823423200,482,200,4194304,0
2025-11-12,/Books/AuthorID/,AuthorID=56330,7796066900,200,8185424600,0,200,113246208,0
2025-11-12,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=1275 Catherine Lane Suite 635 West Gabrielleview  PW 99902,4908980900,0,4917579100,0,204,83886080,15625000
2025-11-12,/Reservations/ClientName/,ClientName=Interview many job,4566541000,0,4578269700,0,204,46137344,0
2025-11-12,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,2017023000,15500,2017062800,486,200,4194304,0
2025-11-12,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,2343614000,0,2343644700,0,204,4194304,0
2025-11-12,/Authors/Book_ID/,Book_ID=1157526,6486852900,39000,6509593700,358,200,88080384,0
2025-11-12,/Books/{format}/,ID_Book=null ISBN=978-0-17-180434-8 Title=null Sinopse=null,2357094600,0,2364646700,0,204,4194304,15625000
2025-11-12,/Authors/Book_ID/,Book_ID=1083621,8724760500,353200,9142986900,328,200,113246208,0
2025-11-12,/Authors/{format}/,ID_Authors=16361 Name=null Age=null Bibliograhy=null,1710298800,424700,1716325400,439,200,0,0
2025-11-12,/Authors/{format}/,ID_Authors=null Name=null Age=86 Bibliograhy=null,1834203900,0,1841671200,0,204,4194304,15625000
2025-11-12,/Authors/{format}/,ID_Authors=null Name=Across decide Age=null Bibliograhy=null,8417709800,395800,8426609900,1693,200,88080384,0
2025-11-12,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,9214255800,533200,9623222100,264,200,113246208,15625000
2025-11-12,/Books/AuthorName/,Author_Name=Travel compare place speak,5630196500,0,5642108800,0,204,4194304,0
2025-11-12,/Authors/{format}/,ID_Authors=null Name=Majority those Age=null Bibliograhy=null,3105018000,46900,3117623500,2168,200,0,0
2025-11-12,/Books/AuthorID/,AuthorID=51857,10157139500,10525700,10587580900,269,200,113246208,31250000
2025-11-12,/Books/AuthorName/,Author_Name=Value standard Republican Republican,4431558600,0,4439610400,0,204,4194304,15625000
2025-11-12,/Reservations/BookTitle/,BookTitle=Model firm do,3248845900,0,3254924400,0,204,0,0
2025-11-12,/Books/AuthorID/,AuthorID=49473,10302867000,200,10563249800,52,200,100663296,0
2025-11-12,/Books/{format}/,ID_Book=110296 ISBN=null Title=null Sinopse=null,6785223500,314600,6807794300,262,200,46137344,15625000
2025-11-12,/Reservations/ClientName/,ClientName=Box charge century,2808501500,0,2815380000,0,204,20971520,0
2025-11-12,/Stocks/BookTitle/,BookTitle=Current key reveal issue,3272600700,0,3279437200,0,204,41943040,0
2025-11-12,/Library/{format}/,ID_Library=null Name=null Description=null Location=Indeed too various especially avoid,4968616800,0,4968646300,0,204,46137344,0
2025-11-12,/Reservations/{format}/,ID_Reservations=9193 ID_Library=null ID_Book=null ID_Clients=null,4190109000,39300,4190173300,72,200,46137344,0
2025-11-12,/Books/AuthorName/,Author_Name=Myself cause deal tonight,8439919900,0,8454878200,0,204,125829120,15625000
2025-11-12,/Stocks/Library,LibraryName=Boy crime black recognize,3574751300,0,3578696600,0,204,41943040,15625000
2025-11-12,/Authors/Book_ID/,Book_ID=1086954,8541522100,21800,8558173700,230,200,130023424,0
2025-11-12,/Reservations/{format}/,ID_Reservations=null ID_Library=418639 ID_Book=null ID_Clients=null,1381046000,0,1381069600,0,204,46137344,0
2025-11-12,/Books/AuthorID/,AuthorID=50347,3918659200,500,3932754700,52,200,46137344,0
2025-11-12,/Stocks/Library,LibraryName=Relate to product treat,3390228600,0,3392813600,0,204,46137344,0
2025-11-12,/Reservations/ID_Reservation/,ID_Reservation=18715,12137275100,366000,12558480600,590,200,167772160,0
2025-11-12,/Reservations/ClientName/,ClientName=Adult group,4718711400,0,4729227900,0,204,88080384,0
2025-11-12,/Reservations/BookTitle/,BookTitle=Inside central walk,4570065100,0,4579298800,0,204,88080384,0
2025-11-12,/Stocks/BookTitle/,BookTitle=Explain boy while process,9563608700,0,9570511800,0,204,171966464,0
