dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-08,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,38256200,84600,38561100,342,200,4194304,0
2025-11-08,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,38935300,9516700,48488300,490,200,4194304,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,1034725200,731900,1035484400,1415,200,4194304,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,1116057000,0,1116086800,0,204,4194304,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Store apply different next,1263283400,0,1263323100,0,204,16777216,15625000
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,1630949100,0,1630977800,0,204,4194304,0
2025-11-08,/Stocks/Library,LibraryName=Forward eye save,1909732400,0,1955238900,0,204,16777216,0
2025-11-08,/Stocks/Library,LibraryName=Generation ready open likely,1910931100,0,1956603000,0,204,16777216,0
2025-11-08,/Stocks/Library,LibraryName=Better program until those,2215650000,0,2261195000,0,204,16777216,0
2025-11-08,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,2291077800,0,2291116500,0,204,4194304,0
2025-11-08,/Authors/Book_ID/,Book_ID=1083621,2283888500,2014000,2308710100,328,200,8388608,0
2025-11-08,/Stocks/Library,LibraryName=Along family threat,2382148700,0,2426896100,0,204,12582912,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,2471929400,0,2471971400,0,204,16777216,0
2025-11-08,/Stocks/Library,LibraryName=Same service blue themselves design,2456411000,0,2502206400,0,204,20971520,0
2025-11-08,/Stocks/Library,LibraryName=Rule more environment others,2483742800,0,2528269400,0,204,16777216,0
2025-11-08,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,2688307000,0,2711744400,0,204,12582912,0
2025-11-08,/Authors/Book_Name/,Book_Name=Director concern exist trouble,2705112200,0,2728635300,0,204,12582912,0
2025-11-08,/Stocks/Library,LibraryName=Lot rich interesting lead,2704613300,0,2749131500,0,204,16777216,0
2025-11-08,/Stocks/Library,LibraryName=Nation eat work language,2752560000,0,2799567600,0,204,20971520,0
2025-11-08,/Authors/Book_Name/,Book_Name=Box run knowledge music,3009421900,0,3034280700,0,204,12582912,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,3291264700,0,3310614000,0,204,8388608,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Compare car what,4350842600,0,4396580500,0,204,20971520,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,4356070000,0,4375286600,0,204,8388608,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Involve key Location=null,4376750400,73500,4376839000,5855,200,8388608,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,4361182000,0,4380520700,0,204,8388608,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Light bed bed,4366192300,0,4412169300,0,204,20971520,0
2025-11-08,/Stocks/Library,LibraryName=Old send social recent,4663766800,0,4708508200,0,204,16777216,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,5097656700,22299300,5141158000,3878917,200,50331648,46875000
2025-11-08,/Reservations/BookTitle/,BookTitle=Wait poor evening book,5819371300,0,5865103200,0,204,67108864,0
2025-11-08,/Books/AuthorName/,Author_Name=Sense training once coach,5950839000,0,5974328000,0,204,58720256,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,6162695800,55319900,6239326300,6638196,200,125829120,62500000
2025-11-08,/Books/AuthorName/,Author_Name=Major yeah view bring,6507198500,0,6531059800,0,204,138412032,0
2025-11-08,/Books/AuthorName/,Author_Name=Than people area strategy,6740268000,0,6763529700,0,204,138412032,0
2025-11-08,/Reservations/ClientName/,ClientName=Power which loss,7139705600,0,7185417900,0,204,146800640,0
2025-11-08,/Reservations/ClientName/,ClientName=How good shoulder history position,7195551800,0,7241270200,0,204,146800640,0
2025-11-08,/Books/AuthorName/,Author_Name=Off local should want,7407660000,0,7431030400,0,204,138412032,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,7504609500,0,7524497300,0,204,134217728,0
2025-11-08,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,7528381700,17400,7547760900,379,200,134217728,0
2025-11-08,/Reservations/ClientName/,ClientName=Write how media bit,7539899800,0,7585553300,0,204,146800640,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,7554214000,0,7573487100,0,204,134217728,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,7553732300,0,7573038700,0,204,134217728,0
2025-11-08,/Authors/Book_ID/,Book_ID=1086954,6532352200,183400,6532687100,230,200,130023424,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=Across decide Age=null Bibliograhy=null,7788100300,390300,7808540700,1693,200,134217728,0
2025-11-08,/Library/{format}/,ID_Library=89004 Name=null Description=null Location=null,5874618300,323000,5874965400,482,200,130023424,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,8017951100,0,8037272500,0,204,134217728,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=1275 Catherine Lane Suite 635 West Gabrielleview  PW 99902,7974821600,0,7974951200,0,204,130023424,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,8083505000,0,8130585600,0,204,146800640,0
2025-11-08,/Authors/Book_ID/,Book_ID=1147468,8087312200,11700,8110369200,245,200,138412032,0
2025-11-08,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,5796861600,8100,5796891100,486,200,130023424,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,8509100500,0,8528590200,0,204,134217728,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,6080696200,0,6080765500,0,204,125829120,0
2025-11-08,/Authors/Book_ID/,Book_ID=1157526,8514487800,9400,8536510700,358,200,138412032,0
2025-11-08,/Reservations/{format}/,ID_Reservations=9193 ID_Library=null ID_Book=null ID_Clients=null,5822521400,29800,5822639300,72,200,125829120,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=86 Bibliograhy=null,5956968900,0,5957065900,0,204,125829120,0
2025-11-08,/Authors/{format}/,ID_Authors=16361 Name=null Age=null Bibliograhy=null,5956733600,366600,5957173800,439,200,125829120,0
