dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-10,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,43410900,31600,47252500,21873,200,4194304,0
2025-11-10,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,44189186200,0,44189219500,0,204,8388608,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,44224915700,46800,44224982700,70,200,16777216,0
2025-11-10,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,44217404600,51851100,44269283900,6325478,200,46137344,78125000
2025-11-10,/Stocks/Library,LibraryName=Along family threat,44582176600,0,44588075000,0,204,58720256,0
2025-11-10,/Reservations/LibraryName/,LlibraryName=Store apply different next,44683385900,0,44683424900,0,204,58720256,0
2025-11-10,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,44707662300,0,44707692400,0,204,54525952,0
2025-11-10,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,45473974700,0,45474341000,0,204,58720256,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,58706186100,0,58707899600,0,204,1145669584,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,60515220300,0,60515925100,0,204,1717947328,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,61508407700,0,61508771000,0,204,1726335936,0
2025-11-10,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,63425781300,0,63426769100,0,204,3219508160,0
2025-11-10,/Authors/Book_Name/,Book_Name=Box run knowledge music,20144720400,0,20145790000,0,204,3563441088,0
2025-11-10,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,19681878300,1061800,19683062600,53926,200,3529886656,0
2025-11-10,/Books/AuthorID/,AuthorID=51857,64508749700,1200,64511010700,52,200,3584412608,0
2025-11-10,/Books/AuthorID/,AuthorID=50004,64547148000,700,64548020700,52,200,3584412608,15625000
2025-11-10,/Books/AuthorID/,AuthorID=56330,64594592700,1300,64595207300,0,200,3584412608,15625000
2025-11-10,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,22912300300,0,22912865600,0,204,4570074048,0
2025-11-10,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,45464803800,0,45466285000,0,204,3640909720,0
2025-11-10,/Reservations/ClientName/,ClientName=How good shoulder history position,52548654900,0,52549019400,0,204,5005119808,0
2025-11-10,/Reservations/ClientName/,ClientName=Power which loss,36650424600,0,36651561400,0,204,3188361584,0
2025-11-10,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,58950443700,2457280600,121309271300,360844868,200,4260503528,36390625000
2025-11-10,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,58992525000,4235014200,123214123400,397439795,200,3451986752,37296875000
2025-11-10,/Authors/Book_Name/,Book_Name=Director concern exist trouble,61602627300,0,61602895100,0,204,0,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,0,0,63249559700,0,204,0,0
2025-11-10,/Books/AuthorID/,AuthorID=49424,50176377200,200,67492835400,52,200,0,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=62970,8617133100,0,8617179300,0,204,0,0
2025-11-10,/Books/AuthorID/,AuthorID=49473,68673676700,500,68674655700,52,200,0,0
2025-11-10,/Reservations/ID_Reservation/,ID_Reservation=19892,88512349000,1009500,88514101200,15244,200,1469605728,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=363727 ID_Book=null ID_Clients=null,9549384400,0,9549423400,0,204,0,0
2025-11-10,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,66984621800,0,66984867500,0,204,0,0
2025-11-10,/Library/{format}/,ID_Library=67089 Name=null Description=null Location=null,9919760400,358000,9920144700,54555,200,0,0
2025-11-10,/Stocks/Library,LibraryName=Nation eat work language,83302717300,0,83302851100,0,204,0,0
2025-11-10,/Stocks/Library,LibraryName=Same service blue themselves design,85884356400,0,85884540900,0,204,0,0
2025-11-10,/Authors/Book_ID/,Book_ID=1083621,90577006600,278800,90591464200,15246,200,0,15625000
2025-11-10,/Stocks/Library,LibraryName=Rule more environment others,92057663900,0,92057816400,0,204,0,15625000
2025-11-10,/Stocks/Library,LibraryName=Lot rich interesting lead,96799712600,0,96799934700,0,204,0,0
2025-11-10,/Stocks/Library,LibraryName=Better program until those,44568067600,0,44568222600,0,204,0,0
2025-11-10,/Library/{format}/,ID_Library=89004 Name=null Description=null Location=null,30403854700,566700,30404454300,54569,200,12582912,0
2025-11-10,/Stocks/Library,LibraryName=Old send social recent,40221755600,0,40221918700,0,204,0,0
2025-11-10,/Stocks/BookTitle/,BookTitle=Explain boy while process,0,0,40678147500,0,204,20971520,0
2025-11-10,/Reservations/ClientName/,ClientName=Interview many job,47500824500,0,47500979300,0,204,20971520,0
2025-11-10,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,31703520300,94700,31703640500,53920,200,8388608,15625000
2025-11-10,/Books/AuthorName/,Author_Name=Sense training once coach,68898243400,0,71378943400,0,204,0,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,27096940700,0,27096968600,0,204,8388608,0
2025-11-10,/Reservations/{format}/,ID_Reservations=9193 ID_Library=null ID_Book=null ID_Clients=null,22501880400,8900,22501922000,73,200,8388608,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Wait poor evening book,0,0,84092366600,0,204,0,0
2025-11-10,/Authors/Book_ID/,Book_ID=1157526,61792183700,48700,61794688800,16010,200,0,0
2025-11-10,/Authors/{format}/,ID_Authors=16361 Name=null Age=null Bibliograhy=null,17271683000,220300,17272372600,24259,200,8388608,15625000
2025-11-10,/Authors/{format}/,ID_Authors=null Name=null Age=86 Bibliograhy=null,19854836300,0,19855001700,0,204,8388608,0
2025-11-10,/Books/AuthorName/,Author_Name=Myself cause deal tonight,62699769000,0,62699924600,0,204,29360128,0
2025-11-10,/Authors/Book_ID/,Book_ID=1147468,96316117900,37600,96317110500,15901,200,0,0
2025-11-10,/Books/{format}/,ID_Book=null ISBN=978-0-17-180434-8 Title=null Sinopse=null,39531908500,424400,39533845500,16266,200,41943040,0
2025-11-10,/Books/AuthorName/,Author_Name=Value standard Republican Republican,67249705500,0,67249901700,0,204,50331648,0
2025-11-10,/Books/{format}/,ID_Book=110296 ISBN=null Title=null Sinopse=null,68742657600,379600,68744350600,16082,200,54525952,0
2025-11-10,/Stocks/BookTitle/,BookTitle=Current key reveal issue,0,0,30326955200,0,204,92274688,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=1275 Catherine Lane Suite 635 West Gabrielleview  PW 99902,78311837300,0,78311994000,0,204,121634816,15625000
2025-11-10,/Reservations/ID_Reservation/,ID_Reservation=18737,160380735700,40900,160381307200,14965,200,1587046240,15625000
