dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-10,/Reservations/BookTitle/,BookTitle=Light bed bed,0,0,21471276900,0,204,12582912,0
2025-11-10,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,32433784700,0,32433825600,0,204,8388608,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Wait poor evening book,0,0,38736904000,0,204,89924624,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Staff environment show class pass,0,0,40330073400,0,204,144450576,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Compare car what,0,0,40828360900,0,204,161227792,15625000
2025-11-10,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,41834261000,0,41834549500,0,204,194782224,0
2025-11-10,/Authors/Book_Name/,Book_Name=Director concern exist trouble,44641801700,0,44642273300,0,204,266085392,15625000
2025-11-10,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,44972044500,0,44972351200,0,204,274474000,0
2025-11-10,/Authors/{format}/,ID_Authors=null Name=Across decide Age=null Bibliograhy=null,46798706900,219870700,47216762900,6344080,200,639378448,390625000
2025-11-10,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,50562231900,0,50562503200,0,204,1415324688,0
2025-11-10,/Books/AuthorID/,AuthorID=49473,61230680000,1000,61234094000,52,200,1918641168,0
2025-11-10,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,76538557100,0,76541195000,0,204,3279017624,0
2025-11-10,/Authors/Book_ID/,Book_ID=1099900,76725223500,749100,76727904200,16005,200,3279017624,15625000
2025-11-10,/Authors/Book_ID/,Book_ID=1157526,81654151700,153500,81657119400,16010,200,3546376928,0
2025-11-10,/Books/AuthorID/,AuthorID=51290,87727568100,1100,87731232200,0,200,3773823728,0
2025-11-10,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,47566013900,3168988300,91838158600,360844868,200,5602540272,42281250000
2025-11-10,/Stocks/BookTitle/,BookTitle=Explain boy while process,0,0,74452658300,0,204,6894385904,0
2025-11-10,/Reservations/ClientName/,ClientName=Interview many job,56521058700,0,56522924700,0,204,2345103152,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=58756,36350697600,0,36350746400,0,204,1141337904,0
2025-11-10,/Library/{format}/,ID_Library=86581 Name=null Description=null Location=null,38301034400,703900,38301773200,53920,200,1808232240,0
2025-11-10,/Authors/Book_ID/,Book_ID=1092669,38308831700,40900,38310678600,15919,200,1808232240,0
2025-11-10,/Books/AuthorName/,Author_Name=Off local should want,87647975700,0,102076943000,0,204,4725117760,0
2025-11-10,/Books/AuthorName/,Author_Name=Than people area strategy,75137371500,0,102088147200,0,204,4725117760,0
2025-11-10,/Authors/Book_ID/,Book_ID=1124239,50214715700,278900,50217706400,15895,200,5847346992,15625000
2025-11-10,/Reservations/ID_Reservation/,ID_Reservation=18554,50233586800,117500,50234140500,15005,200,5851541296,15625000
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=418639 ID_Book=null ID_Clients=null,50223175300,0,50223218300,0,204,5843152688,0
2025-11-10,/Reservations/BookTitle/,BookTitle=Inside central walk,0,0,63495527700,0,204,1935302472,0
2025-11-10,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,61113551700,6095792100,125570308000,397439795,200,4634084184,46500000000
2025-11-10,/Stocks/BookTitle/,BookTitle=Current key reveal issue,0,0,66441118700,0,204,1776425848,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=1275 Catherine Lane Suite 635 West Gabrielleview  PW 99902,95849511700,0,95849781400,0,204,3116253064,0
2025-11-10,/Books/AuthorName/,Author_Name=Travel compare place speak,90563210800,0,90564078000,0,204,2942442360,0
2025-11-10,/Library/{format}/,ID_Library=null Name=null Description=null Location=Indeed too various especially avoid,74841551100,0,74841852800,0,204,1793203064,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=null Phone=001-740-631-1564x0340 Email=null  Adress=null,59961400800,0,59961722800,0,204,0,0
2025-11-10,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=null  Adress=Unit 7348 Box 6360 DPO AE 51044,102203752200,0,102204176000,0,204,2257890352,0
2025-11-10,/Authors/Book_Name/,Book_Name=Modern choose pretty institution,65670221200,0,65670488100,0,204,1028472064,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=313247 ID_Clients=null,59750744800,0,59750809400,0,204,0,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=488681 ID_Clients=null,59447130000,0,59447203700,0,204,0,0
2025-11-10,/Library/{format}/,ID_Library=98223 Name=null Description=null Location=null,53532331000,6897800,53539280300,54584,200,4412034280,0
2025-11-10,/Reservations/LibraryName/,LlibraryName=Too local difference,94312664699,0,94312745700,0,204,0,0
2025-11-10,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=352915 ID_Clients=null,57185033800,0,57185112199,0,204,647143800,0
2025-11-10,/Authors/Book_ID/,Book_ID=1086954,153899352600,106100,153903118700,15955,200,3698638064,0
