dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone=null Email=brussell@example.org  Adress=null,1781668800,0,1782171100,0,204,4194304,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Mention design arrive value suffer Location=null,3272354300,0,3272391400,0,204,8388608,0
2025-11-08,/Library/{format}/,ID_Library=null Name=Modern magazine idea Description=null Location=null,3279514300,0,3279549000,0,204,8388608,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Some magazine,3266277800,17572800,3283884900,1415,200,8388608,15625000
2025-11-08,/Stocks/Library,LibraryName=Along family threat,3314599200,0,3314819000,0,204,8388608,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Meeting article,4291933000,0,4298812800,0,204,8388608,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Light bed bed,0,0,4367401900,0,204,8388608,15625000
2025-11-08,/Reservations/LibraryName/,LlibraryName=Reveal community everybody case,4377352200,0,4377472100,0,204,8388608,0
2025-11-08,/Reservations/LibraryName/,LlibraryName=Store apply different next,4386446500,0,4386485300,0,204,8388608,0
2025-11-08,/Reservations/ClientName/,ClientName=How good shoulder history position,2038909100,0,2039303700,0,204,0,0
2025-11-08,/Books/AuthorName/,Author_Name=Major yeah view bring,5535183900,0,5536969300,0,204,12582912,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,5563301600,0,5563673900,0,204,16777216,0
2025-11-08,/Authors/Book_Name/,Book_Name=Follow nation indicate simple,2482232000,0,2482483100,0,204,46137344,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,5797941700,0,5797976800,0,204,54525952,0
2025-11-08,/Authors/Book_Name/,Book_Name=Box run knowledge music,2563496000,0,2563754500,0,204,54525952,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=null Location=Discussion within early anything,6019303200,0,6019339300,0,204,109051904,0
2025-11-08,/Library/{format}/,ID_Library=88310 Name=null Description=null Location=null,1648862300,96900,1648988800,342,200,104857600,0
2025-11-08,/Clients/{format}/,ID_Client=32549 Name=null Phone=null Email=null  Adress=null,6133449500,21100,6134874200,379,200,155189248,15625000
2025-11-08,/Books/AuthorID/,AuthorID=50004,6150759600,700,6150932900,52,200,159383552,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Radio young,6160719500,0,6160806800,0,204,167772160,15625000
2025-11-08,/Clients/{format}/,ID_Client=null Name=null Phone= 1-275-204-5923x490 Email=null  Adress=null,4375127500,0,4375335100,0,204,171966464,0
2025-11-08,/Books/AuthorID/,AuthorID=51290,6225813800,500,6226116700,0,200,0,0
2025-11-08,/Books/AuthorName/,Author_Name=Than people area strategy,6429580800,0,6429766400,0,204,101405664,0
2025-11-08,/Reservations/BookTitle/,BookTitle=Compare car what,0,0,6464942400,0,204,139154400,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=63 Bibliograhy=null,6130611700,40927800,6591891800,3878917,200,8077720,484375000
2025-11-08,/Reservations/ClientName/,ClientName=Power which loss,1268317800,0,1268507900,0,204,0,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,6613483800,0,6613657200,0,204,24854936,0
2025-11-08,/Books/AuthorID/,AuthorID=51857,6630976100,409300,6634671300,269,200,24854936,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,5583984300,913943100,6971367000,6670858,200,133906840,1296875000
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,4063044200,0,4063282400,0,204,146489752,15625000
2025-11-08,/Stocks/Library,LibraryName=Same service blue themselves design,1783458900,0,1783566300,0,204,96158104,15625000
2025-11-08,/Stocks/Library,LibraryName=Generation ready open likely,1812473600,0,1812587400,0,204,91963800,0
2025-11-08,/Books/AuthorID/,AuthorID=49473,1496703900,700,1496929800,52,200,0,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Coach commercial particular born,8030883300,0,8031051100,0,204,154878360,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=null Bibliograhy=Begin sign major memory,8103819400,0,8103998400,0,204,154878360,0
2025-11-08,/Authors/Book_Name/,Book_Name=Director concern exist trouble,1667317100,0,1667447400,0,204,49278392,15625000
2025-11-08,/Books/AuthorID/,AuthorID=49424,2093484700,900,2093662300,52,200,41632152,0
