dia,endpoint,params,db_time_nanos,parser_time_nanos,total_time_nanos,bytes_sent,status,memoria_b,cpu_nanos
2025-11-08,/Reservations/ClientName/,ClientName=Write how media bit,530267300,0,576132700,0,204,12582912,15625000
2025-11-08,/Reservations/ClientName/,ClientName=How good shoulder history position,582889300,0,609736500,0,204,12582912,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=978-0-693-72388-2 Title=null Sinopse=null,938389300,0,984904900,0,204,75497472,15625000
2025-11-08,/Stocks/Library,LibraryName=Along family threat,946396400,0,995516300,0,204,75497472,0
2025-11-08,/Stocks/Library,LibraryName=Generation ready open likely,1199276300,0,1240462500,0,204,134217728,0
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=Name you can Sinopse=null,1648378700,0,1674600800,0,204,48966976,0
2025-11-08,/Stocks/Library,LibraryName=Lot rich interesting lead,1730627400,0,1783038500,0,204,74132800,0
2025-11-08,/Authors/Book_Name/,Book_Name=Box run knowledge music,1833586700,0,1869518100,0,204,99298624,0
2025-11-08,/Authors/{format}/,ID_Authors=null Name=null Age=73 Bibliograhy=null,560649300,1056941300,2162507100,6670858,200,0,1453125000
2025-11-08,/Stocks/Library,LibraryName=Forward eye save,2191707200,0,2237916900,0,204,5844896,0
2025-11-08,/Stocks/Library,LibraryName=Better program until those,2329367000,0,2359453500,0,204,1650592,0
2025-11-08,/Stocks/Library,LibraryName=Rule more environment others,2434222100,0,2469056800,0,204,5844896,0
2025-11-08,/Library/{format}/,ID_Library=null Name=null Description=Involve key Location=null,2499153500,238600,2499432300,5855,200,10039200,15625000
2025-11-08,/Reservations/ClientName/,ClientName=Power which loss,2796778700,0,2818266700,0,204,5844896,0
2025-11-08,/Clients/{format}/,ID_Client=null Name=Design let member Phone=null Email=null  Adress=null,3219083300,0,3232612000,0,204,5844896,0
2025-11-08,/Authors/Book_ID/,Book_ID=1147468,3215510600,176600,3258212600,245,200,5844896,0
2025-11-08,/Books/AuthorName/,Author_Name=Myself cause deal tonight,3355851500,0,3395783000,0,204,5844896,15625000
2025-11-08,/Books/{format}/,ID_Book=null ISBN=null Title=National right stay base Sinopse=null,3506712400,0,3523590600,0,204,5844896,15625000
2025-11-08,/Books/AuthorID/,AuthorID=49424,3529087100,300,3575905800,52,200,10039200,0
2025-11-08,/Reservations/{format}/,ID_Reservations=null ID_Library=null ID_Book=null ID_Clients=13349,3565129600,0,3565154400,0,204,5844896,0
2025-11-08,/Stocks/Library,LibraryName=Same service blue themselves design,3685805800,0,3714593300,0,204,5844896,0
2025-11-08,/Authors/Book_Name/,Book_Name=Director concern exist trouble,3684862800,0,3715736400,0,204,5844896,0
2025-11-08,/Books/{format}/,ID_Book=18925 ISBN=null Title=null Sinopse=null,3679120200,255400,3730245900,264,200,10039200,0
